,EM,F1,seed,n,base_model
0,0.11352885525070956,2.1384207370759736,0,2,roberta-base
1,0.5960264900662252,4.950788587645931,1,2,roberta-base
2,0.0946073793755913,3.452008217878105,2,2,roberta-base
3,0.1608325449385052,3.0419453224887976,3,2,roberta-base
4,0.24597918637653737,4.118872450241359,4,2,roberta-base
5,0.2554399243140965,5.721813295883335,0,4,roberta-base
6,0.4162724692526017,4.543705409904127,1,4,roberta-base
7,0.5487228003784295,6.319359306966189,2,4,roberta-base
8,0.3595080416272469,3.71403955284418,3,4,roberta-base
9,0.510879848628193,5.6469469615173935,4,4,roberta-base
10,0.7190160832544938,4.825341528580299,0,8,roberta-base
11,0.6717123935666982,6.697965640237186,1,8,roberta-base
12,1.7123935666982024,6.959082018518362,2,8,roberta-base
13,0.7568590350047304,4.498536336557613,3,8,roberta-base
14,0.4824976348155156,4.937832630275365,4,8,roberta-base
15,0.9555345316934721,6.06295050966685,0,16,roberta-base
16,0.6054872280037843,6.909153961472068,1,16,roberta-base
17,1.1352885525070955,6.171006899930894,2,16,roberta-base
18,1.5515610217596973,6.0798444403942264,3,16,roberta-base
19,0.9176915799432356,6.087103671943017,4,16,roberta-base
20,1.239356669820246,5.858185762662091,0,32,roberta-base
21,0.804162724692526,6.184007019417697,1,32,roberta-base
22,1.1352885525070955,6.881572704820078,2,32,roberta-base
23,2.2894985808893096,8.287611474715591,3,32,roberta-base
24,1.6745506149479659,7.280444371932862,4,32,roberta-base
25,2.6111636707663197,9.209626079899392,0,64,roberta-base
26,2.6773888363292335,9.368894295118444,1,64,roberta-base
27,2.620624408703879,9.324233305261679,2,64,roberta-base
28,2.9517502365184485,9.661937969649106,3,64,roberta-base
29,3.434247871333964,10.424727612925967,4,64,roberta-base
30,4.115421002838222,11.321138865424246,0,128,roberta-base
31,5.089877010406812,13.124268033493752,1,128,roberta-base
32,7.265846736045412,15.301502420646843,2,128,roberta-base
33,7.086092715231788,14.895057166595837,3,128,roberta-base
34,10.747398297067171,20.46865820875827,4,128,roberta-base
35,15.468306527909176,25.57177338736615,0,256,roberta-base
36,15.6480605487228,28.172338806929684,1,256,roberta-base
37,16.982024597918638,30.263266148596948,2,256,roberta-base
38,17.000946073793756,29.769139747920605,3,256,roberta-base
39,18.656575212866603,32.605611063658,4,256,roberta-base
